Number of Processes, Elapsed Time (seconds)
1, 317.550467251
2, 315.444797228
3, 209.721079700
4, 157.802627574
5, Error in output
6, 105.023751080
7, Error in output
8, 78.985848458
9, Error in output
10, Error in output
11, Error in output
12, 52.766351756
13, Error in output
14, Error in output
15, Error in output
16, 39.642117872
17, Error in output
18, Error in output
19, Error in output
20, Error in output
21, Error in output
22, Error in output
23, Error in output
24, 26.437401931
25, Error in output
26, Error in output
27, Error in output
28, Error in output
29, Error in output
30, Error in output
31, Error in output
32, 19.991065750
